GEOID,above_county
53033000100,1
53033000200,1
53033000401,1
53033000600,1
53033000700,1
53033001000,1
53033001200,1
53033001300,1
53033001701,1
53033001800,1
53033004000,1
53033004301,1
53033004302,1
53033004400,1
53033004500,1
53033005200,1
53033005301,1
53033005302,1
53033007300,1
53033007402,1
53033007500,1
53033007600,1
53033007900,1
53033008002,1
53033008100,1
53033008300,1
53033008500,1
53033008600,1
53033008700,1
53033008900,1
53033009000,1
53033009100,1
53033009200,1
53033009300,1
53033009400,1
53033010001,1
53033010002,1
53033010100,1
53033010300,1
53033010401,1
53033010701,1
53033010702,1
53033010800,1
53033010900,1
53033011001,1
53033011002,1
53033011101,1
53033011102,1
53033011200,1
53033011300,1
53033011401,1
53033011402,1
53033011700,1
53033011800,1
53033011900,1
53033020300,1
53033020500,1
53033020700,1
53033021100,1
53033021804,1
53033021904,1
53033023202,1
53033023300,1
53033023401,1
53033023604,1
53033024701,1
53033024800,1
53033025101,1
53033025200,1
53033025302,1
53033025400,1
53033025500,1
53033025601,1
53033025701,1
53033025803,1
53033025804,1
53033025805,1
53033025806,1
53033026002,1
53033026100,1
53033026200,1
53033026300,1
53033026400,1
53033026500,1
53033026600,1
53033026700,1
53033026801,1
53033026802,1
53033027000,1
53033027100,1
53033027200,1
53033027300,1
53033027400,1
53033027500,1
53033027600,1
53033027701,1
53033027900,1
53033028000,1
53033028100,1
53033028200,1
53033028300,1
53033028402,1
53033028403,1
53033028801,1
53033028802,1
53033028902,1
53033029003,1
53033029004,1
53033029101,1
53033029203,1
53033029204,1
53033029205,1
53033029206,1
53033029303,1
53033029403,1
53033029407,1
53033029408,1
53033029502,1
53033029503,1
53033029504,1
53033029601,1
53033029700,1
53033029801,1
53033029802,1
53033029901,1
53033030003,1
53033030004,1
53033030005,1
53033030006,1
53033030100,1
53033030201,1
53033030202,1
53033030304,1
53033030305,1
53033030306,1
53033030308,1
53033030309,1
53033030312,1
53033030313,1
53033030314,1
53033030401,1
53033030403,1
53033030501,1
53033030503,1
53033030504,1
53033030600,1
53033030700,1
53033030801,1
53033030802,1
53033030901,1
53033030902,1
53033031100,1
53033031202,1
53033031205,1
53033031206,1
53033031301,1
53033031302,1
53033031704,1
53033031908,1
53033032103,1
53033032104,1
53035080101,1
53035080102,1
53035080200,1
53035080300,1
53035080500,1
53035080600,1
53035080700,1
53035080800,1
53035080900,1
53035081000,1
53035081100,1
53035081200,1
53035081400,1
53035090101,1
53035090300,1
53035090400,1
53035090501,1
53035091204,1
53035092200,1
53035092300,1
53035092400,1
53035092500,1
53035092600,1
53035092803,1
53035092901,1
53035092902,1
53035940000,1
53053060200,1
53053060904,1
53053061002,1
53053061100,1
53053061200,1
53053061300,1
53053061400,1
53053061500,1
53053061601,1
53053061602,1
53053061700,1
53053061900,1
53053062000,1
53053062300,1
53053062400,1
53053062500,1
53053062600,1
53053062801,1
53053062802,1
53053062900,1
53053063000,1
53053063100,1
53053063200,1
53053063300,1
53053063400,1
53053063501,1
53053063502,1
53053070100,1
53053071207,1
53053071305,1
53053071403,1
53053071409,1
53053071410,1
53053071411,1
53053071503,1
53053071504,1
53053071601,1
53053071602,1
53053071703,1
53053071704,1
53053071705,1
53053071706,1
53053071707,1
53053071803,1
53053071805,1
53053071806,1
53053071807,1
53053071808,1
53053071901,1
53053072000,1
53053072106,1
53053072108,1
53053072308,1
53053072310,1
53053072311,1
53053072312,1
53053072603,1
53053072901,1
53053072903,1
53053072905,1
53053072907,1
53053073001,1
53053073005,1
53053073114,1
53053073115,1
53053073126,1
53053073200,1
53053073301,1
53053073405,1
53053073407,1
53053940006,1
53053940007,1
53061040200,1
53061040300,1
53061040400,1
53061040500,1
53061040700,1
53061040800,1
53061040900,1
53061041000,1
53061041100,1
53061041201,1
53061041202,1
53061041303,1
53061041400,1
53061041500,1
53061041601,1
53061041606,1
53061041701,1
53061041805,1
53061041806,1
53061041808,1
53061041809,1
53061041810,1
53061041811,1
53061041812,1
53061041901,1
53061041903,1
53061041904,1
53061041905,1
53061042006,1
53061050102,1
53061050900,1
53061051000,1
53061051200,1
53061051400,1
53061051500,1
53061051601,1
53061051701,1
53061051702,1
53061051803,1
53061051905,1
53061051928,1
53061052208,1
53061052209,1
53061052402,1
53061052504,1
53061052603,1
53061052903,1
53061052904,1
53061052905,1
53061052906,1
53061053101,1
53061053301,1
53061053504,1
53061053509,1
53061053602,1
53061053604,1
53061053700,1
53061053803,1
53061940001,1
53061940002,1
