Year,Observed,Forecast
1990,1134200,
1991,1172800,
1992,1194000,
1993,1216400,
1994,1238800,
1995,1260200,
1996,1277400,
1997,1297700,
1998,1322800,
1999,1348800,
2000,1348100,
2001,1369800,
2002,1393400,
2003,1414900,
2004,1437300,
2005,1460100,
2006,1484200,
2007,1508200,
2008,1527900,
2009,1545000,
2010,1570700,
2011,1580500,
2012,1590000,
2013,1604000,
2014,1622000,
2015,1642500,
2016,1663500,
2017,1686900,1686900
2018,1711700,1715000
2019,1739300,1743100
2020,1767500,1771200
2021,1793600,1799300
2022,,1827400
2023,,1855500
2024,,1883600
2025,,1911700
2026,,1939800
2027,,1967900
2028,,1996000
2029,,2024100
2030,,2052200
2031,,2080300
2032,,2108400
2033,,2136500
2034,,2164600
2035,,2192700
2036,,2220800
2037,,2248900
2038,,2277000
2039,,2305100
2040,,2333200
2041,,2361300
2042,,2389400
2043,,2417500
2044,,2445600
2045,,2473700
2046,,2501800
2047,,2529900
2048,,2558000
2049,,2586100
2050,,2614200
